city,site name,net_pp,price
Cairo,Saladin Citadel,550,€10.00
Cairo,Baron Palace,220,€4.00
Cairo,Moez Street,220,€4.00
Cairo,Sultan Hassan & Al-Rifa’i Mosque,220,€4.00
Cairo,Beit El-Suhaimi,220,€4.00
Cairo,Bab Zuweila,100,€1.82
Cairo,Mohamed Abu El-Dahab Collection,100,€1.82
Cairo,Mevlevi Tekke,100,€1.82
Cairo,Qubbat Al-Ghouri & House,150,€2.73
Cairo,Al-Ghouri Wekala,100,€1.82
Cairo,Ali Labib House,100,€1.82
Cairo,Al-Harawi House,100,€1.82
Cairo,Obelisk of Senusret I in Matareya,100,€1.82
Cairo,Mary's Tree,120,€2.18
Cairo,Egyptian Museum in Tahrir,550,€10.00
Cairo,Museum of Islamic Art,340,€6.18
Cairo,Coptic Museum,280,€5.09
Cairo,Muhammad Ali Palace in Manial,220,€4.00
Cairo,Royal Carriages Museum,300,€5.45
Cairo,NMEC (National Museum of Egyptian Civilization),500,€9.09
Cairo,Al-Ghouri Complex,150,€2.73
Cairo,"Sabil and Book of Qaitbay, Saliba Street",100,€1.82
Cairo,Egyptian Museum Audio Guide,75,€1.36
Cairo,Giza Pyramids Area,700,€12.73
Cairo,Khufu Pyramid Interior,1000,€18.18
Cairo,Khafre Pyramid (Giza),280,€5.09
Cairo,Menkaure Pyramid (Giza),280,€5.09
Cairo,Great Sphinx (Private Visit Only),200,€3.64
Cairo,Tomb of Meresankh III,200,€3.64
Cairo,Workers' Tombs (Minimum 5 Tickets),500,€9.09
Cairo,Saqqara Archaeological Area,600,€10.91
Cairo,"Noble Tombs, New Kingdom Cemetery, Bubasteion",400,€7.27
Cairo,Serapeum,340,€6.18
Cairo,Tomb of Mereruka,200,€3.64
Cairo,Saqqara General Tombs Ticket,280,€5.09
Cairo,Southern Tomb,300,€5.45
Cairo,Dahshur Archaeological Area,200,€3.64
Cairo,Mit Rahina Archaeological Area,200,€3.64
Cairo,Step Pyramid of Zoser (Southern Interior),280,€5.09
Cairo,Grand Egyptian Museum(GEM),1200,€21.82
Cairo,Merruka Cemetery,200,€3.64
Alexandria,Qaitbay Citadel,200,€3.64
Alexandria,Pompey's Pillar,200,€3.64
Alexandria,Kom El Dikka (Roman Theatre),200,€3.64
Alexandria,Kom El Shoqafa Catacombs,200,€3.64
Alexandria,Mustafa Kamel Tombs,100,€1.82
Alexandria,Anfushi Tombs,100,€1.82
Alexandria,Shatby Archaeological Cemetery,100,€1.82
Alexandria,Underwater Antiquities in Eastern Harbour,180,€3.27
Alexandria,Alexandria National Museum,220,€4.00
Alexandria,Royal Jewellery Museum,220,€4.00
Alexandria,Graeco-Roman Museum,400,€7.27
Luxor,Karnak Temple (Includes Avenue of Sphinxes),600,€10.91
Luxor,Luxor Temple (Includes Avenue of Sphinxes),500,€9.09
Luxor,Valley of the Kings,750,€13.64
Luxor,Tomb of Tutankhamun,700,€12.73
Luxor,Tomb of Ramesses VI,220,€4.00
Luxor,Tomb of Seti I,2000,€36.36
Luxor,Tomb of Ay,200,€3.64
Luxor,Temple of Hatshepsut,440,€8.00
Luxor,Ramesseum Temple,220,€4.00
Luxor,Tomb of Ramose,120,€2.18
Luxor,Tomb of Pashedu,120,€2.18
Luxor,Deir el-Medina,220,€4.00
Luxor,Medinet Habu Temple,220,€4.00
Luxor,Valley of the Queens,220,€4.00
Luxor,Tomb of Nefertari,2500,€45.45
Luxor,Tomb of Menna and Nakht,200,€3.64
Luxor,Carter House & Replica of Tutankhamun Tomb,220,€4.00
Luxor,Temple of Seti I,200,€3.64
Luxor,Tomb of Userhat and Khonsu,120,€2.18
Luxor,Al-Assasif Tombs,200,€3.64
Luxor,Qurnet Murai Tombs,120,€2.18
Luxor,Sheikh Abd el-Qurna Tombs,120,€2.18
Luxor,El-Khokha Tombs,120,€2.18
Luxor,Tombs of Roy and Shuroy,120,€2.18
Luxor,Deir Shelwit and Temple of Isis,100,€1.82
Luxor,Temple of Merneptah,100,€1.82
Luxor,Luxor Museum,400,€7.27
Luxor,Mummification Museum,220,€4.00
Fayoum,Lahun Pyramid,150,€2.73
Fayoum,Hawara Pyramid,150,€2.73
Fayoum,Karanis (Kom Aushim),150,€2.73
Fayoum,Kom Oshim Museum,150,€2.73
Fayoum,Qarun Temple,150,€2.73
Fayoum,Medinet Madi (Madi City),150,€2.73
Aswan,Philae Temple,550,€10.00
Aswan,Panorama of Philae Temples,200,€3.64
Aswan,Temple of Isis,150,€2.73
Aswan,Elephantine Island,200,€3.64
Aswan,Suhail Island,100,€1.82
Aswan,Kalabsha Temple,200,€3.64
Aswan,Nubian Museum,400,€7.27
Aswan,Unfinished Obelisk,220,€4.00
Aswan,Kom Ombo Temple (includes Crocodile Museum),450,€8.18
Aswan,Amada Area,150,€2.73
Aswan,Abu Simbel Temple,750,€13.64
Aswan,Abu Simbel Sound & Light on 22 Oct and 2 Feb,1200,€21.82
Aswan,Wadi El Seboua,120,€2.18
Aswan,Mount Chain,100,€1.82
Aswan,El Kab Tombs,220,€4.00
AL MINYA,Al Ashmunein and Tuna Al-Gabal,200,€3.64
AL MINYA,Beni Hassan Tombs,200,€3.64
AL MINYA,Fraser Tombs,100,€1.82
AL MINYA,Frayzer Tomb,100,€1.82
AL MINYA,Malawi Museum,120,€2.18
AL MINYA,Tell el-Amarna,200,€3.64
AL MINYA,Royal Tombs of Amarna,120,€2.18
AL MINYA,Sultan’s Corner,100,€1.82
SIWA,Hibis Temple,180,€3.27
SIWA,Al-Ghweita Temple,100,€1.82
SIWA,Dush Temple,100,€1.82
SIWA,Al-Zayyan Temple,100,€1.82
SIWA,El-Bagawat Cemetery,120,€2.18
SIWA,New Valley Museum,150,€2.73
SIWA,Temple of the Frog,100,€1.82
SIWA,Al-Mualla Temple,100,€1.82
SIWA,Qasr el-Ghueita (Tsar’s Castle),100,€1.82
SIWA,Stone Monastery,100,€1.82
SIWA,Ezbet Bashandi,100,€1.82
SIWA,Qasr City (Palace City),100,€1.82
MATROUH,Temple of Revelation in Siwa,120,€2.18
MATROUH,Mountain of the Dead,120,€2.18
MATROUH,The Mastaba Column,120,€2.18
MATROUH,Matrouh Museum,120,€2.18
MATROUH,Rommel Cave Museum,120,€2.18
Qena,Dendera Temple,300,€5.45
